facility_id,facility_name,main_category,item_type,parent_component,sub_items,category_color,description,status_colors
rect-1,Centrifuge manufacturing  and assemblies,Fuel Production,component,,"rect-7,rect-9,rect-15,rect-5,rect-25,rect-28,rect-29",#00558C,Centrifuge manufacturing  and assemblies facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-3,Centrifuge stockpiles and  components,Fuel Production,component,,rect-1,#00558C,Centrifuge stockpiles and  components facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-5,Foreign uranium imports,Fuel Production,component,,,#00558C,Foreign uranium imports facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-7,Narigan,Fuel Production,sub-item,rect-1,,#BCD8F0,Narigan facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-9,"South Africa, 1980s;   Kazakhstan, 2015 JCPOA;  Russia (?);  Unknown others(?)",Fuel Production,sub-item,rect-1,,#BCD8F0,"South Africa, 1980s;   Kazakhstan, 2015 JCPOA;  Russia (?);  Unknown others(?) facility",CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-11,Esfahan Tunnels Site,Destroyed Facilities,sub-item,,,#FFC7C2,Esfahan Tunnels Site facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-0,Tehran Nuclear Research Center,Destroyed Facilities,sub-item,,,#FFC7C2,Tehran Nuclear Research Center facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-1,Imported components and raw  materials,Fuel Production,sub-item,rect-3,,#BCD8F0,Imported components and raw  materials facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-13,Saghand 1 &#38; 2,Operational Facilities,sub-item,,,#C7E9C0,Saghand 1 &#38; 2 facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-2,Uranium enrichment,Fuel Production,component,,,#00558C,Uranium enrichment facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-3,Uranium milling,Fuel Production,component,,,#00558C,Uranium milling facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-15,Gchine mill (until 2016),Fuel Production,sub-item,rect-1,,#BCD8F0,Gchine mill (until 2016) facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-17,HEU storage,Fuel Production,component,,,#00558C,HEU storage facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-4,Heavy water production,Fuel Production,component,,,#00558C,Heavy water production facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-5,Lashkar Abad laser enrichment  plant,Fuel Production,sub-item,rect-1,,#BCD8F0,Lashkar Abad laser enrichment  plant facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-6,Ardakan Yellowcake Production  Plant,Operational Facilities,sub-item,,,#C7E9C0,Ardakan Yellowcake Production  Plant facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-7,Esfahan Fuel Plate Manufacturing  Plant (FPFP) (20% LEU),Destroyed Facilities,sub-item,,,#FFC7C2,Esfahan Fuel Plate Manufacturing  Plant (FPFP) (20% LEU) facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-8,Esfahan Uranium Conversion  Facility,Destroyed Facilities,sub-item,,,#FFC7C2,Esfahan Uranium Conversion  Facility facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-9,Esfahan Tunnel Complex -  Entrances destroyed&#x2028; &#x2028; &#xa0;Any intact HEU requires excava,Destroyed Facilities,sub-item,,,#FFC7C2,Esfahan Tunnel Complex -  Entrances destroyed&#x2028; &#x2028; &#xa0;Any intact HEU requires excava facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-10,Zirconium Production Plant (ZPP)/ hafnium oxide production,Operational Facilities,sub-item,,,#C7E9C0,Zirconium Production Plant (ZPP)/ hafnium oxide production facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-11,Esfahan Shipping and Receiving  Building     Possible HEU location,Destroyed Facilities,sub-item,,,#FFC7C2,Esfahan Shipping and Receiving  Building     Possible HEU location facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-12,Esfahan Fuel Enrichment Plant  (Deeply buried),Construction Facilities,sub-item,,,#DCCCFF,Esfahan Fuel Enrichment Plant  (Deeply buried) facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-13,Power reactors and Small modular  reactors,Fuel Production,component,,,#00558C,Power reactors and Small modular  reactors facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-14,Khondab (Arak) Under  Construction Reactor &#38; Hot Cells/ Production Building,Destroyed Facilities,sub-item,,,#FFC7C2,Khondab (Arak) Under  Construction Reactor &#38; Hot Cells/ Production Building facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-15,"Planned power reactors and Small  modular reactors, to be built by Rus",Construction Facilities,sub-item,,,#DCCCFF,"Planned power reactors and Small  modular reactors, to be built by Rus facility",CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-16,Darhovin reactor,Construction Facilities,sub-item,,,#DCCCFF,Darhovin reactor facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-17,Lab-scale uranium metal  production,Fuel Production,component,,,#1E1E1E,Lab-scale uranium metal  production facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-18,Neutron initiator production,Fuel Production,component,,,#1E1E1E,Neutron initiator production facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-19,"Administration, personnel,  nuclear weapons theory &#38;  simulation, computation,  modeling, design,  documentation, &#13;  back-up nuclear archive/wea",Fuel Production,component,,,#1E1E1E,"Administration, personnel,  nuclear weapons theory &#38;  simulation, computation,  modeling, design,  documentation, &#13;  back-up nuclear archive/wea facility",CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-20,Esfahan Uranium Metal  Conversion Lab    Likely no intact HEU,Destroyed Facilities,sub-item,,,#FFC7C2,Esfahan Uranium Metal  Conversion Lab    Likely no intact HEU facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-21,"SPND Headquarters, Tehran",Destroyed Facilities,sub-item,,,#FFC7C2,"SPND Headquarters, Tehran facility",CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-22,Institute of Applied Physics Annex,Destroyed Facilities,sub-item,,,#FFC7C2,Institute of Applied Physics Annex facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-23,Shahid Shariarti,Destroyed Facilities,sub-item,,,#FFC7C2,Shahid Shariarti facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-24,Multi-point initiation system  development and testing,Fuel Production,component,,,#1E1E1E,Multi-point initiation system  development and testing facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-25,HMX Production,Fuel Production,sub-item,rect-1,,#BCD8F0,HMX Production facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-26,Shahid Meysami,Destroyed Facilities,sub-item,,,#FFC7C2,Shahid Meysami facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-27,Shahid Karimi Group/Lavisan 2/ Mojdeh Site,Destroyed Facilities,sub-item,,,#FFC7C2,Shahid Karimi Group/Lavisan 2/ Mojdeh Site facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-28,Unknown to Exist,Fuel Production,sub-item,rect-1,,#BCD8F0,Unknown to Exist facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
rect-29,Goleb Dareh,Fuel Production,sub-item,rect-1,,#BCD8F0,Goleb Dareh facility,CDF4D3=#operational;C6FAF6=#unknown;DCCCFF=#construction;FFE0C2=#likely-destroyed;FFC7C2=#destroyed
