Category,Media Type,Neighborhood/Site,City,Province,Coordinates,Description,Original Caption,Translated Caption,Source Name,Date of Post (ET),"Time of Post (24HR, ET)","Approx. Time of Incident (24HR, ET)",Fatality/Injury Counts,Link,Incident ID
Explosion,"Video, Image",Jenatabad,Tehran,Tehran,"35.75249126548511, 51.30478656923325",Exploding building,"تصاویر دریافتی از ""ساختان منفجر شده در جنت‌آباد تهران، امروز چهارشنبه ۴ تیر"" نیروی انتظامی دلیل این انفجار رو ""ترکیدگی لوله گاز"" اعلام کرده. منابع حکومتی امروز اخباری هم درباره ""انفجار گاز"" در کرمانشاه و مشهد منتشر کرده‌اند.","Images received from ""the exploded building in Tehran's Jenatabad, today Wednesday, June 25""
The police force has announced the reason for this explosion as ""a gas pipe burst."" Government sources also published news today about ""gas explosions"" in Kermanshah and Mashhad.",Vahid Online,25 June 2025,14:42,,,https://x.com/Vahid/status/1937944621541183922,1
Fire,"Image, Video",Tajrish,Tehran,Tehran,"35.79943327585201, 51.47536890705791",Fire in Aseman Farmanieh Tower,"""همین الان، آتش‌سوزی یک واحد در برج آسمان فرمانیه تهران""
تصاویر دریافتی از شهروندان مختلف","Just now, a fire broke out in a unit in the Aseman Farmanieh Tower, Tehran  
Images received from various citizens  ",Vahid Online,26 June 2025,13:18,,,https://x.com/Vahid/status/1938285670637896051,2
Fire,"Video, Image",Tajrish,Tehran,Tehran,"35.79943327585201, 51.47536890705791",Fire in Aseman Farmanieh Tower,"تصاویر دریافتی دیگر از ""آتش‌سوزی در برج آسمان فرمانیه تهران""","Additional received images from ""the fire in the Farmanieh Sky Tower, Tehran""",Vahid Online,26 June 2025,13:39,,,https://x.com/Vahid/status/1938290952986320914,2
Air Defense Activation,Video,,Hamedan,Hamedan,"34.79831731781643, 48.514786336735106",Air defense activation,"گزارش‌ها از ""فعالیت شدید پدافند هوایی در #همدان و مناطق اطراف""","Reports of ""intense air defense activity in #Hamadan and surrounding areas""",Vahid Online,30 June 2025,15:11,,,https://x.com/Vahid/status/1939763772547121507,3
Visible Smoke,"Video, Image",,Shahr-e Rey,Tehran,"35.539194093056004, 51.424503331169525",Column of smoke,"تصاویر دریافتی از ""یک ستون دود در #تهران، همین الان""
در پیام‌ها میگن ""جنوب شرق تهران""","Images received of ""a column of smoke in Tehran, just now""
In messages, they say ""southeast Tehran""",Vahid Online,1 July 2025,12:08,,,https://x.com/Vahid/status/1940080057533280670,4
"Explosion, Visible Smoke",Video,,Shahr-e Rey,Tehran,"35.539194093056004, 51.424503331169525",Explosion and smoke,«صدای انفجار آمد و این هم دود شدید»,"""The sound of an explosion came, and here’s the heavy smoke""",Manoto,1 July 2025,12:12,,,https://x.com/ManotoNews/status/1940081146454507921,4
Visible Smoke,"Video, Image",,Shahr-e Rey,Tehran,"35.539194093056004, 51.424503331169525",Smoke,از پیام‌های دریافتی به نظر می‌رسه سمت شرق جنوب تهران حوالی مشیریه، دولت‌آباد و شهر ری دود رو از نزدیک‌تر می‌بینند.,"From the received messages, it seems that in the eastern part of southern Tehran, around Meshiriyeh, Dowlatabad, and Shahr-e Rey, people are seeing the smoke more closely.",Vahid Online,1 July 2025,12:31,,,https://x.com/Vahid/status/1940085935506444574,4
Visible Smoke,Video,,Shahr-e Rey,Tehran,"35.539194093056004, 51.424503331169525",Smoke near Rey refinery,گزارشگر منوتو ویدیویی از ستونی از دود در جنوب‌شرق تهران ارسال کرده و می‌گوید این دود از نزدیکی پالایشگاه شهرری برخاسته است.,"The Manoto reporter sent a video of a column of smoke in southeast Tehran, saying the smoke is rising from near the Rey refinery.",Manoto,1 July 2025,12:47,,,https://x.com/ManotoNews/status/1940089770136486177,4
Explosion,Video,,Tehran,Tehran,,Explosion,گزارشگر منوتو با ارسال این ویدیوها از وقوع انفجار در جاده تهران خبر داده است. به گفته ایشان این اتفاق حدودا ساعت ۱۵:۳۰ به وقت محلی رخ داده است.,"The Manoto reporter, by sharing these videos, has reported an explosion on the Tehran road. According to them, this incident occurred around 15:30 local time.",Manoto,1 July 2025,13:08,,,https://x.com/ManotoNews/status/1940095180272455799,5
Fire,Video,Modarres Highway,Tehran,Tehran,"35.7535125525549, 51.42086856355627",Pride (car) on fire,"ویدیوی دریافتی با شرح: همین الان، یک پراید داره توی بزرگراه مدرس قبل از تخت‌طاووس می‌سوزه. چهارشنبه ۱۱ تیر ساعت ۱۸:۰۵""","Received video with description: Right now, a car is burning on Modarres Highway before Takht-e-Tavoos. Wednesday, July 2, 6:05 PM",Vahid Online,2 July 2025,10:44,,,http://x.com/Vahid/status/1940421251580981564,6
